smiles,source_dataset
CCNc1nc(Nc2cn(C(C)(C)c3ncn(CC)n3)nc2Cl)ncc1C(F)(F)F,unique_smiles_CHEMBL_no_shared
NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,unique_smiles_B3DB_no_shared
CCC(=O)NC1CCC(C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,unique_smiles_CHEMBL_no_shared
O=c1[nH]c2ccccc2c(=O)n1CCN1CC2CC(c3ccc(F)cc3)C2C1,unique_smiles_B3DB_no_shared
CC(Nc1ccc2[nH]nc(-n3cncn3)c2c1)c1cc(F)ccc1OCC(F)F,unique_smiles_CHEMBL_no_shared
O=C(Nc1n[nH]c2cc(-c3ccc(F)cc3)ccc12)C1CC1,unique_smiles_CHEMBL_no_shared
Cc1cncc(-c2cc(Nc3nn(C)cc3Cl)nc3[nH]cc(C#N)c23)c1,unique_smiles_CHEMBL_no_shared
c1cc(-c2n[nH]c3ccnc(OC4CCOCC4)c23)c2cc[nH]c2c1,unique_smiles_CHEMBL_no_shared
Cc1nn(C2CCc3cn[nH]c32)cc1Nc1ncc(C(F)(F)F)c(C2CC2)n1,unique_smiles_CHEMBL_no_shared
CC(=O)OCC(=O)C1(OC(C)=O)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,unique_smiles_B3DB_no_shared
CCC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,unique_smiles_B3DB_no_shared
Cc1nc2n(n1)C(N1CCN(C)CC1)=Nc1ccccc1C2,unique_smiles_B3DB_no_shared
COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O,unique_smiles_B3DB_no_shared
CC(C)n1cc2c3c(cccc31)C1CC(C(=O)NC3CCCCC3)CN(C)C1C2,unique_smiles_B3DB_no_shared
O=C(CC1c2ccccc2C(=O)N1c1ccc2ccc(Cl)nc2n1)N1CCC2(CC1)OCCO2,unique_smiles_B3DB_no_shared
Cn1nnc2ccc(C(c3ccc(Cl)cc3)n3cncn3)cc21,unique_smiles_B3DB_no_shared
CN(C)C(=O)C(C#N)=Cc1ccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)o1,unique_smiles_CHEMBL_no_shared
CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCCCC(=O)OCC(=O)c3ccccc3)CC21,unique_smiles_B3DB_no_shared
COCCNC(=O)c1ccc2c(c1)nc(-c1cnc(-c3ccc(Cl)cc3)[nH]1)n2CCOC,unique_smiles_CHEMBL_no_shared
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,unique_smiles_B3DB_no_shared
CC(=O)N1CCN(C(=O)Cc2ccc([S+](C)[O-])cc2)C(CN2CCC(O)C2)C1,unique_smiles_B3DB_no_shared
COc1cc(-c2n[nH]cc2-c2ccc(-c3cccc(S(N)(=O)=O)c3)cc2)ccn1,unique_smiles_CHEMBL_no_shared
COc1ccc(Cl)c2c1CCCC2N(C)C,unique_smiles_B3DB_no_shared
O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,unique_smiles_B3DB_no_shared
CNc1nc(Nc2cnn(C3CCn4cncc43)c2C)ncc1C(F)(F)F,unique_smiles_CHEMBL_no_shared
CC(O)C1C(=O)N2C(C(=O)O)=C(C3CCCO3)SC12,unique_smiles_B3DB_no_shared
O=[N+]([O-])c1cc[nH]c1NCCSCc1ccccn1,unique_smiles_B3DB_no_shared
CCc1c(O)c(=O)ccn1CCO,unique_smiles_B3DB_no_shared
CN(C(=O)Cc1ccccc1N)C(CN1CCC(O)C1)c1ccccc1,unique_smiles_B3DB_no_shared
Cc1cnc(C(O)c2nc3cnc4ccc(Cl)cc4c3n2C2CCOC(C)C2)cn1,unique_smiles_CHEMBL_no_shared
CN(C)C(=O)c1ccc(-c2ccc3cc(C(N)=O)nnc3c2)cc1,unique_smiles_CHEMBL_no_shared
CCC1(C)OC(=O)N(C)C1=O,unique_smiles_B3DB_no_shared
c1cc(-c2n[nH]c3ccnc(OC4CCOCC4)c23)cc(-c2cn[nH]c2)n1,unique_smiles_CHEMBL_no_shared
COC1C(O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O,unique_smiles_B3DB_no_shared
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,unique_smiles_B3DB_no_shared
CN1CCC(=C2c3ccccc3Oc3ccc(Cl)cc32)CC1,unique_smiles_B3DB_no_shared
O=C1CC2c3cc(Cl)ccc3OC3(CCNCC23)N1,unique_smiles_B3DB_no_shared
CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,unique_smiles_B3DB_no_shared
COC1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,unique_smiles_B3DB_no_shared
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,unique_smiles_B3DB_no_shared
C=C1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,unique_smiles_B3DB_no_shared
COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,unique_smiles_B3DB_no_shared
COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,unique_smiles_B3DB_no_shared
CN(C)CCc1c[nH]c2ccc(CC3COC(=O)N3)cc12,unique_smiles_B3DB_no_shared
CCN1CC2(C1)CN(c1ccc(Nc3ncc(F)c(-c4cnn5c4C(C)CCCC5)n3)nc1)C2,unique_smiles_CHEMBL_no_shared
CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,unique_smiles_B3DB_no_shared
Cc1n[nH]cc1Nc1nc(N)c2c(C#N)c(N3CCCC3C)n(C)c2n1,unique_smiles_CHEMBL_no_shared
NCCNCCNCCN,unique_smiles_B3DB_no_shared
CC1CC(N)CC(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C1,unique_smiles_CHEMBL_no_shared
OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,unique_smiles_B3DB_no_shared
Cc1c(Nc2ncc3ccc(-c4ccn[nH]4)cc3n2)cnn1C1CCOCC1,unique_smiles_CHEMBL_no_shared
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,unique_smiles_B3DB_no_shared
CC1CN(CCCn2c3ccccc3c3ccccc32)CC(C)N1,unique_smiles_B3DB_no_shared
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCCCC1N1CCCC1,unique_smiles_B3DB_no_shared
CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,unique_smiles_B3DB_no_shared
CCNc1nc(Nc2cnn(C3CC(n4cc(F)cn4)C3)c2C)ncc1C(F)(F)F,unique_smiles_CHEMBL_no_shared
C=CC1(C(C)CCC)C(=O)NC(=O)NC1=O,unique_smiles_B3DB_no_shared
CC1CC(n2c(C3CCOC3)nc3cnc4ccc(C(F)F)cc4c32)CCO1,unique_smiles_CHEMBL_no_shared
CN1CCC23c4c5ccc(OC(=O)c6cccnc6)c4OC2C(OC(=O)c2cccnc2)C=CC3C1C5,unique_smiles_B3DB_no_shared
Cc1c(F)cncc1-c1ccc2nc(NC(=O)C3CC3F)cn2c1,unique_smiles_CHEMBL_no_shared
Cn1ccc(-c2cc(-c3ccc4[nH]ccc4c3)cnc2N)n1,unique_smiles_CHEMBL_no_shared
CCn1cc(Cl)c2cnc(Nc3c(C)nn(C4CCN(S(C)(=O)=O)CC4)c3C)nc21,unique_smiles_CHEMBL_no_shared
CCC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,unique_smiles_B3DB_no_shared
Clc1ccc(Cl)c(N=C2NCCN2)c1,unique_smiles_B3DB_no_shared
CCCCCCCCCCCCCCCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1,unique_smiles_B3DB_no_shared
CN(C)CC=C(c1ccc(Br)cc1)c1cccnc1,unique_smiles_B3DB_no_shared
Cc1cc(NN=Cc2ccc(O)c(O)c2)nc2ccccc12,unique_smiles_CHEMBL_no_shared
CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,unique_smiles_B3DB_no_shared
CC(=O)OCC(=O)C1(O)C(C)CC2C3C=C(C)C4=Cc5c(cnn5-c5ccccc5)CC4(C)C3C(O)CC21C,unique_smiles_B3DB_no_shared
Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,unique_smiles_B3DB_no_shared
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,unique_smiles_B3DB_no_shared
CN(C)c1c(C#N)c2c(N)ncnc2n1C,unique_smiles_CHEMBL_no_shared
CCNc1nc(Nc2cn(Cc3ccn(C)n3)c(C#N)c2C)ncc1C(F)(F)F,unique_smiles_CHEMBL_no_shared
c1cc(-c2ccc3[nH]nc(-c4cc(N5CCOCC5)ncn4)c3c2)ccn1,unique_smiles_CHEMBL_no_shared
CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,unique_smiles_B3DB_no_shared
