merged_index,smiles,original_index,source_dataset
31,C=CC(=O)Nc1ccc(C(=O)Nc2ccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)cc2)cc1,32,unique_smiles_CHEMBL_no_shared
32,C=CC(=O)Nc1cccc(-c2cnc3[nH]nc(C)c3c2)c1,33,unique_smiles_CHEMBL_no_shared
33,C=CC(=O)Nc1cccc(-c2n[nH]c3cc(C)ccc23)c1,34,unique_smiles_CHEMBL_no_shared
34,C=CC(=O)Nc1cccc(-c2n[nH]c3ccccc23)c1,35,unique_smiles_CHEMBL_no_shared
35,C=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4[nH]c(SC)nc4C)ccn3)cc2)c1,36,unique_smiles_CHEMBL_no_shared
36,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,37,unique_smiles_CHEMBL_no_shared
37,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1C(=O)Nc1c(C)cccc1Cl,38,unique_smiles_CHEMBL_no_shared
38,C=CCN1C[C@H]2COc3ccc(F)c(c3)-c3cnn4ccc(nc34)NCCN2CC1(C)C,39,unique_smiles_CHEMBL_no_shared
39,C=CCOC(=O)c1cc(-c2ccc(/C=C3/NC(=S)NC3=O)o2)ccc1Cl,40,unique_smiles_CHEMBL_no_shared
40,C=CCc1cccc2c(=NO)cc(-c3ccccc3)oc12,41,unique_smiles_CHEMBL_no_shared
41,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,42,unique_smiles_CHEMBL_no_shared
42,C=CS(=O)(=O)Nc1ccc(Cc2ccc3ccccc3c2)cc1,43,unique_smiles_CHEMBL_no_shared
43,C=CS(=O)(=O)Nc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,44,unique_smiles_CHEMBL_no_shared
44,C=Cc1cc(C#N)cnc1C(=O)Nc1ccc2[nH]nc(-c3ccoc3)c2c1,45,unique_smiles_CHEMBL_no_shared
45,C=Cc1ccc2c(NC(C)C)c(C(N)=O)nnc2c1,46,unique_smiles_CHEMBL_no_shared
46,C=Cc1nc(C(=O)Nc2ccc3[nH]nc(C4CC4)c3c2)c(C)c(C)c1C#N,47,unique_smiles_CHEMBL_no_shared
47,CC#Cc1ccc2nccc(NC(=O)Nc3cccc(C(F)(F)F)n3)c2c1,48,unique_smiles_CHEMBL_no_shared
48,CC(=N)c1cc(NC(=O)c2nc(Cl)c(C#N)cc2C)ccc1N,49,unique_smiles_CHEMBL_no_shared
49,CC(=N)c1cc(NC(=O)c2ncc(C#N)c(Cl)c2C)ccc1N,50,unique_smiles_CHEMBL_no_shared
50,CC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N[C@@H]1c1ccc(C#N)nc1,51,unique_smiles_CHEMBL_no_shared
51,CC(=O)N(C)c1c(C#N)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,52,unique_smiles_CHEMBL_no_shared
52,CC(=O)N1C(C)=C(C(=O)Nc2ccc3[nH]ncc3c2)Cn2nnnc21,53,unique_smiles_CHEMBL_no_shared
53,CC(=O)N1CC2(CC(COc3nc(Nc4ccc(N5C[C@@H](C)O[C@@H](C)C5)cc4)ncc3F)C2)C1,54,unique_smiles_CHEMBL_no_shared
54,CC(=O)N1CCC(COc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2Cl)C(F)(F)C1,55,unique_smiles_CHEMBL_no_shared
55,CC(=O)N1CCC(COc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)C(F)C1,56,unique_smiles_CHEMBL_no_shared
56,CC(=O)N1CCC(COc2nc(Nc3ccc(N4C[C@@H](C)O[C@@H](C)C4)cc3)ncc2F)C(F)C1,57,unique_smiles_CHEMBL_no_shared
57,CC(=O)N1CCC(COc2nc(Nc3cn(C(C)(C)C#N)nc3C)ncc2Cl)C(F)(F)C1,58,unique_smiles_CHEMBL_no_shared
58,CC(=O)N1CCC(COc2nc(Nc3cn(C(C)(C)C#N)nc3C)ncc2F)C(F)C1,59,unique_smiles_CHEMBL_no_shared
59,CC(=O)N1CCC(c2ccc(C(=O)NC(=N)N)cc2C(F)(F)F)CC1,60,unique_smiles_CHEMBL_no_shared
60,CC(=O)N1CCC(c2ccc(C(=O)NC3=NCCN3)cc2C(F)(F)F)CC1,61,unique_smiles_CHEMBL_no_shared
61,CC(=O)N1CCC(n2cc(Nc3ncc(C(F)(F)F)c(C4CC4)n3)c(C)n2)CC1,62,unique_smiles_CHEMBL_no_shared
62,CC(=O)N1CCC(n2ncc(Nc3ncc(C(F)(F)F)c(C4CC4)n3)c2C)CC1,63,unique_smiles_CHEMBL_no_shared
63,CC(=O)N1CCC(n2ncc(Nc3ncc4c(Cl)cn(C)c4n3)c2Cl)CC1,64,unique_smiles_CHEMBL_no_shared
64,CC(=O)N1CCN(c2cc(-c3n[nH]c4ccc(-c5cnn(C)c5)cc34)ncn2)CC1,65,unique_smiles_CHEMBL_no_shared
65,CC(=O)N1CCN(c2cc(-c3n[nH]c4ccc(OC(C)C)cc34)ncn2)CC1,66,unique_smiles_CHEMBL_no_shared
66,CC(=O)N1CCN(c2cc(-c3n[nH]c4ccc(OC5(C)CC5)cc34)ncn2)CC1,67,unique_smiles_CHEMBL_no_shared
67,CC(=O)N1CCN2CCNc3ccn4ncc(c4n3)-c3cc(ccc3F)OC[C@@H]2C1,68,unique_smiles_CHEMBL_no_shared
68,CC(=O)N1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(C#N)cc43)cc2C1,69,unique_smiles_CHEMBL_no_shared
69,CC(=O)N1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(C(F)(F)F)cc43)cc2C1,70,unique_smiles_CHEMBL_no_shared
70,CC(=O)N1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(OC(C)C)cc43)cc2C1,71,unique_smiles_CHEMBL_no_shared
71,CC(=O)N1CCc2[nH]c(/C=C3\C(=O)Nc4ccc([N+](=O)[O-])cc43)cc2C1,72,unique_smiles_CHEMBL_no_shared
72,CC(=O)NC12C3C4C1C1C2C3C41COc1ccnc(Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)cc2)n1,73,unique_smiles_CHEMBL_no_shared
73,CC(=O)NC12CCC(COc3ccnc(Nc4ccc(N5CCOCC5)cc4)n3)(CC1)CC2,74,unique_smiles_CHEMBL_no_shared
74,CC(=O)NC12CCC(COc3ccnc(Nc4cn(C(C)(C)C#N)nc4C)n3)(CC1)CC2,75,unique_smiles_CHEMBL_no_shared
75,CC(=O)NC1CCC(C)(COc2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)CC1,76,unique_smiles_CHEMBL_no_shared
76,CC(=O)NC1CCC(C)(COc2ccnc(Nc3ccc(N4C[C@@H](C)O[C@@H](C)C4)cc3)n2)CC1,77,unique_smiles_CHEMBL_no_shared
77,CC(=O)NC1CCCC(COc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)CC1,78,unique_smiles_CHEMBL_no_shared
78,CC(=O)NC1CCCC(COc2nc(Nc3ccc(N4C[C@@H](C)O[C@@H](C)C4)cc3)ncc2F)CC1,79,unique_smiles_CHEMBL_no_shared
79,CC(=O)NC1CCN(c2ncnc3[nH]cc(-c4cccc(C#N)c4)c23)CC1,80,unique_smiles_CHEMBL_no_shared
80,CC(=O)NC1CCN(c2ncnc3[nH]cc(-c4cccc(Cl)c4)c23)CC1,81,unique_smiles_CHEMBL_no_shared
81,CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,82,unique_smiles_CHEMBL_no_shared
82,CC(=O)NCc1c(F)cccc1-c1ccc2nc(NC(=O)[C@@H]3C[C@@H]3F)cn2c1,83,unique_smiles_CHEMBL_no_shared
83,CC(=O)NCc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1,84,unique_smiles_CHEMBL_no_shared
84,CC(=O)N[C@H]1CC[C@@H](COc2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)C1,85,unique_smiles_CHEMBL_no_shared
85,CC(=O)N[C@H]1CC[C@@H](COc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)C1,86,unique_smiles_CHEMBL_no_shared
86,CC(=O)N[C@H]1CC[C@@H](COc2nc(Nc3ccc(N4C[C@@H](C)O[C@@H](C)C4)cc3)ncc2F)C1,87,unique_smiles_CHEMBL_no_shared
87,CC(=O)N[C@H]1CC[C@@H](COc2nc(Nc3cn(C(C)(C)C#N)nc3C)ncc2F)C1,88,unique_smiles_CHEMBL_no_shared
88,CC(=O)N[C@H]1CC[C@H](COc2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)CC1,89,unique_smiles_CHEMBL_no_shared
89,CC(=O)N[C@H]1CC[C@H](COc2ccnc(Nc3ccc(N4C[C@@H](C)O[C@@H](C)C4)cc3)n2)CC1,90,unique_smiles_CHEMBL_no_shared
90,CC(=O)N[C@H]1CC[C@H](COc2ccnc(Nc3cn(C(C)(C)C#N)nc3C)n2)CC1,91,unique_smiles_CHEMBL_no_shared
91,CC(=O)N[C@H]1CC[C@H](COc2ccnc(Nc3cn(C4CC(C#N)C4)nc3C)n2)CC1,92,unique_smiles_CHEMBL_no_shared
92,CC(=O)N[C@H]1CC[C@H](COc2ccnc(Nc3cnn(C(C)C)c3)n2)CC1,93,unique_smiles_CHEMBL_no_shared
93,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3ccc(N4C5CCC4COC5)cc3)ncc2F)CC1,94,unique_smiles_CHEMBL_no_shared
94,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2C2CC2)CC1,95,unique_smiles_CHEMBL_no_shared
95,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2Cl)CC1,96,unique_smiles_CHEMBL_no_shared
96,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)CC1,97,unique_smiles_CHEMBL_no_shared
97,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3ccc(N4C[C@@H](C)O[C@@H](C)C4)cc3)ncc2C)CC1,98,unique_smiles_CHEMBL_no_shared
98,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3ccc(N4C[C@@H](C)O[C@@H](C)C4)cc3)ncc2F)CC1,99,unique_smiles_CHEMBL_no_shared
99,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cn(C(C)(C)C#N)nc3C)ncc2C)CC1,100,unique_smiles_CHEMBL_no_shared
100,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cn(C(C)(C)C#N)nc3C)ncc2Cl)CC1,101,unique_smiles_CHEMBL_no_shared
101,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cn(C(C)(C)C#N)nc3C)ncc2F)CC1,102,unique_smiles_CHEMBL_no_shared
102,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cn(C(C)C)nc3C)ncc2F)CC1,103,unique_smiles_CHEMBL_no_shared
103,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cn(C(C)C)nc3Cl)ncc2F)CC1,104,unique_smiles_CHEMBL_no_shared
104,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cn(C(F)F)nc3C)ncc2F)CC1,105,unique_smiles_CHEMBL_no_shared
105,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cn(C)nc3C)ncc2F)CC1,106,unique_smiles_CHEMBL_no_shared
106,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cn(C)nc3Cl)ncc2F)CC1,107,unique_smiles_CHEMBL_no_shared
107,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cn(C4CC4)nc3C)ncc2F)CC1,108,unique_smiles_CHEMBL_no_shared
108,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cn(C4CC4)nc3Cl)ncc2F)CC1,109,unique_smiles_CHEMBL_no_shared
109,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cnn(C(C)(C)C#N)c3)ncc2F)CC1,110,unique_smiles_CHEMBL_no_shared
110,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cnn(C(C)(C)C#N)c3C)ncc2F)CC1,111,unique_smiles_CHEMBL_no_shared
111,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cnn(C(C)C)c3)ncc2F)CC1,112,unique_smiles_CHEMBL_no_shared
112,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cnn(C(F)(F)F)c3)ncc2F)CC1,113,unique_smiles_CHEMBL_no_shared
113,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cnn(C(F)F)c3C)ncc2F)CC1,114,unique_smiles_CHEMBL_no_shared
114,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cnn(C)c3)ncc2F)CC1,115,unique_smiles_CHEMBL_no_shared
115,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cnn(C4CCOCC4)c3)ncc2F)CC1,116,unique_smiles_CHEMBL_no_shared
116,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cnn(C4CCOCC4)c3Cl)ncc2F)CC1,117,unique_smiles_CHEMBL_no_shared
117,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cnn(C4COC4)c3)ncc2F)CC1,118,unique_smiles_CHEMBL_no_shared
118,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cnn(CC(F)(F)F)c3)ncc2F)CC1,119,unique_smiles_CHEMBL_no_shared
119,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cnn(CCF)c3)ncc2F)CC1,120,unique_smiles_CHEMBL_no_shared
120,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cnn(CCO)c3)ncc2F)CC1,121,unique_smiles_CHEMBL_no_shared
121,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cnn(CCO)c3Cl)ncc2F)CC1,122,unique_smiles_CHEMBL_no_shared
122,CC(=O)N[C@H]1C[C@H](COc2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)C1,123,unique_smiles_CHEMBL_no_shared
123,CC(=O)N[C@H]1C[C@H](COc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)C1,124,unique_smiles_CHEMBL_no_shared
124,CC(=O)Nc1c(C(C)=O)c(=O)n(C)c2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc12,125,unique_smiles_CHEMBL_no_shared
125,CC(=O)Nc1cc2ccccn2n1,126,unique_smiles_CHEMBL_no_shared
126,CC(=O)Nc1ccc(-c2cc(-c3n[nH]c4ccnc(OC5CCOCC5)c34)ccn2)cc1,127,unique_smiles_CHEMBL_no_shared
127,CC(=O)Nc1ccc(-c2cc(-c3n[nH]c4ccnc(OC5CCOCC5)c34)ccn2)cn1,128,unique_smiles_CHEMBL_no_shared
128,CC(=O)Nc1ccc(/C=C2/C(=O)Nc3ccc(Cl)cc32)cc1,129,unique_smiles_CHEMBL_no_shared
129,CC(=O)Nc1ccc(C)c(-c2ccc3nc(NC(=O)[C@@H]4C[C@@H]4F)cn3c2)c1,130,unique_smiles_CHEMBL_no_shared
130,CC(=O)Nc1ccc(Nc2ccc(C(=O)N3CCC(N4CCCCC4)CC3)cc2Cl)cc1,131,unique_smiles_CHEMBL_no_shared
131,CC(=O)Nc1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCN(C(=O)N1CCOCC1)C3)C(=O)N2,132,unique_smiles_CHEMBL_no_shared
132,CC(=O)Nc1cccc(-c2cc(-c3n[nH]c4ccnc(OC5CCOCC5)c34)ccn2)c1,133,unique_smiles_CHEMBL_no_shared
133,CC(=O)Nc1cccc(-c2cnc3[nH]nc(C)c3c2)c1,134,unique_smiles_CHEMBL_no_shared
134,CC(=O)Nc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1,135,unique_smiles_CHEMBL_no_shared
135,CC(=O)Nc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,136,unique_smiles_CHEMBL_no_shared
136,CC(=O)Nc1ccccc1-c1cc(-c2n[nH]c3ccnc(OC4CCOCC4)c23)ccn1,137,unique_smiles_CHEMBL_no_shared
137,CC(=O)OCCn1nc(-c2cccc(Br)c2)c2c(C(F)(F)F)cc(=O)[nH]c21,138,unique_smiles_CHEMBL_no_shared
138,CC(=O)c1c(-c2ccccc2)nn(C)c(=O)c1N,139,unique_smiles_CHEMBL_no_shared
139,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,140,unique_smiles_CHEMBL_no_shared
140,CC(=O)c1c(F)cccc1-c1ccc2nc(NC(=O)[C@@H]3C[C@@H]3F)cn2c1,141,unique_smiles_CHEMBL_no_shared
141,CC(=O)c1c(NS(C)(=O)=O)c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3Cl)nc2n(C)c1=O,142,unique_smiles_CHEMBL_no_shared
142,CC(=O)c1cccc(-c2ccc3nccn3n2)c1,143,unique_smiles_CHEMBL_no_shared
143,CC(=O)c1cccc(-c2cnc3[nH]ccc3c2)c1,144,unique_smiles_CHEMBL_no_shared
144,CC(=O)c1ccccc1-c1ncnc2[nH]ccc12,145,unique_smiles_CHEMBL_no_shared
145,CC(=O)c1cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc2c1NC(C)C,146,unique_smiles_CHEMBL_no_shared
146,CC(C#N)(c1ccc2cnn(-c3cc(N4CC5(C(C)(C)O)CC4C5)ncn3)c2c1)C1CC1,147,unique_smiles_CHEMBL_no_shared
147,CC(C#N)Cc1nc2cnc3ccc(Cl)cc3c2n1[C@@H]1CCO[C@H](C)C1,148,unique_smiles_CHEMBL_no_shared
148,CC(C(F)F)N1CCN(c2cc(-c3n[nH]c4ccc(OC5(C)CC5)cc34)ncn2)CC1,149,unique_smiles_CHEMBL_no_shared
149,CC(C(F)F)N1CCN(c2cc(-c3n[nH]c4ccc(OC5(C)CC5)cc34)ncn2)C[C@H]1C,150,unique_smiles_CHEMBL_no_shared
150,CC(C)(C#N)n1cc(Nc2ncc(C(F)(F)F)c(C3CC3)n2)c(Cl)n1,151,unique_smiles_CHEMBL_no_shared
151,CC(C)(C#N)n1cc(Nc2ncc(F)c(OCC34CCC(O)(CC3)CC4)n2)cn1,152,unique_smiles_CHEMBL_no_shared
152,CC(C)(C#N)n1cc(Nc2ncc(F)c(OCC3CCC(O)CC3)n2)cn1,153,unique_smiles_CHEMBL_no_shared
153,CC(C)(C#N)n1cc(Nc2ncc(F)c(OCC3CCNCC3)n2)cn1,154,unique_smiles_CHEMBL_no_shared
154,CC(C)(C(N)=O)c1nc(Cl)c(Nc2ncc(Br)c(NC3CC3)n2)s1,155,unique_smiles_CHEMBL_no_shared
155,CC(C)(C(N)=O)c1nc(Cl)c(Nc2ncc(C(F)(F)F)c(NC3CC3)n2)s1,156,unique_smiles_CHEMBL_no_shared
156,CC(C)(C(N)=O)c1nc(Cl)c(Nc2ncc(C(F)(F)F)c(NCC(F)F)n2)s1,157,unique_smiles_CHEMBL_no_shared
157,CC(C)(C)C(=O)N1N=CC[C@H]1c1ccccc1,158,unique_smiles_CHEMBL_no_shared
158,CC(C)(C)Cn1cc(Nc2ncc3c(Cl)c(N4CCN(C5(C)COC5)CC4)ccc3n2)cn1,159,unique_smiles_CHEMBL_no_shared
159,CC(C)(C)Cn1cc(Nc2ncc3cc(Cl)c(N4CCC(C5(C)COC5)CC4)cc3n2)cn1,160,unique_smiles_CHEMBL_no_shared
160,CC(C)(C)Nc1c(C(N)=O)nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,161,unique_smiles_CHEMBL_no_shared
161,CC(C)(C)Nc1ncnc2[nH]cc(-c3ccccc3)c12,162,unique_smiles_CHEMBL_no_shared
162,CC(C)(C)c1cc(NC(=O)C(=O)c2cccc3ccccc23)n(-c2ccc(OCC(=O)O)cc2)n1,163,unique_smiles_CHEMBL_no_shared
163,CC(C)(C)c1cc(NC(=O)C(=O)c2cccc3ccccc23)n(-c2ccc(OCC(N)=O)cc2)n1,164,unique_smiles_CHEMBL_no_shared
164,CC(C)(C)c1cc(NC(=O)C(=O)c2cccc3ccccc23)n(-c2cccc(OCC(=O)NCCO)c2)n1,165,unique_smiles_CHEMBL_no_shared
165,CC(C)(C)c1cc(NC(=O)C(=O)c2cccc3ccccc23)n(-c2cccc(OCC(=O)O)c2)n1,166,unique_smiles_CHEMBL_no_shared
166,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,167,unique_smiles_CHEMBL_no_shared
167,CC(C)(C)c1cc(NC(=O)Nc2ccc(Nc3ncnc4c3OCCCN4)cc2)no1,168,unique_smiles_CHEMBL_no_shared
168,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccncc3)cc2)no1,169,unique_smiles_CHEMBL_no_shared
169,CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(-c2cccc(C(=O)NCCCCO)c2)n1,170,unique_smiles_CHEMBL_no_shared
170,CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(-c2cccc(C(=O)NCCOCCO)c2)n1,171,unique_smiles_CHEMBL_no_shared
171,CC(C)(C)c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1,172,unique_smiles_CHEMBL_no_shared
172,CC(C)(C)c1ccc2nnc(C(N)=O)c(N)c2c1,173,unique_smiles_CHEMBL_no_shared
173,CC(C)(C)c1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1,174,unique_smiles_CHEMBL_no_shared
174,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,175,unique_smiles_CHEMBL_no_shared
175,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,176,unique_smiles_CHEMBL_no_shared
176,CC(C)(CO)CNC(=O)c1ccc2c(c1)/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,177,unique_smiles_CHEMBL_no_shared
177,CC(C)(O)C12CC(C1)N(c1cc(-n3ncc4c(F)cc(C5(C#N)CC56CC6)cc43)ncn1)C2,178,unique_smiles_CHEMBL_no_shared
178,CC(C)(O)C12CC(C1)N(c1cc(-n3ncc4cc(F)c(C5(C#N)CC56CC6)cc43)ncn1)C2,179,unique_smiles_CHEMBL_no_shared
179,CC(C)(O)C12CC(C1)N(c1cc(-n3ncc4ccc(-c5ccn[nH]5)cc43)ncn1)C2,180,unique_smiles_CHEMBL_no_shared
180,CC(C)(O)C12CC(C1)N(c1cc(-n3ncc4ccc(C5(C#N)CC5(C)C)cc43)ncn1)C2,181,unique_smiles_CHEMBL_no_shared
181,CC(C)(O)C12CC(C1)N(c1cc(-n3ncc4ccc(C5(C#N)CC5)cc43)ncn1)C2,182,unique_smiles_CHEMBL_no_shared
182,CC(C)(O)C12CC(C1)N(c1cc(-n3ncc4ccc([C@@]5(C#N)CC56CC6)cc43)ccn1)C2,183,unique_smiles_CHEMBL_no_shared
